FOLDER,IN_FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI
"Black Bear 10.07-10.16/Data","S4A04633_20171007_190002.wav",0,0.000,3598.000,"2017-10-07","19:00:02.000",19,-0.228524,151.263989

"Black Bear 10.07-10.16/Data","S4A04633_20171007_190002.wav",1,0.000,3598.000,"2017-10-07","19:00:02.000",19,-0.080260,150.716457

"Black Bear 10.07-10.16/Data","S4A04633_20171007_180000.wav",0,0.000,3600.000,"2017-10-07","18:00:00.000",18,-0.145363,151.547293

"Black Bear 10.07-10.16/Data","S4A04633_20171007_180000.wav",1,0.000,3600.000,"2017-10-07","18:00:00.000",18,-0.074360,151.802721

"Black Bear 10.07-10.16/Data","S4A04633_20171008_000000.wav",0,0.000,3600.000,"2017-10-08","00:00:00.000",0,0.685436,148.555626

"Black Bear 10.07-10.16/Data","S4A04633_20171008_000000.wav",1,0.000,3600.000,"2017-10-08","00:00:00.000",0,0.270976,148.000984

"Black Bear 10.07-10.16/Data","S4A04633_20171008_030000.wav",0,0.000,3600.000,"2017-10-08","03:00:00.000",3,0.084058,151.659570

"Black Bear 10.07-10.16/Data","S4A04633_20171008_030000.wav",1,0.000,3600.000,"2017-10-08","03:00:00.000",3,-0.048240,150.910446

"Black Bear 10.07-10.16/Data","S4A04633_20171008_060000.wav",0,0.000,3600.000,"2017-10-08","06:00:00.000",6,-0.011311,150.915249

"Black Bear 10.07-10.16/Data","S4A04633_20171008_060000.wav",1,0.000,3600.000,"2017-10-08","06:00:00.000",6,0.082005,150.585176

"Black Bear 10.07-10.16/Data","S4A04633_20171008_070002.wav",0,0.000,3598.000,"2017-10-08","07:00:02.000",7,-0.147737,151.961969

"Black Bear 10.07-10.16/Data","S4A04633_20171008_070002.wav",1,0.000,3598.000,"2017-10-08","07:00:02.000",7,0.001635,150.993452

"Black Bear 10.07-10.16/Data","S4A04633_20171008_090000.wav",0,0.000,3600.000,"2017-10-08","09:00:00.000",9,0.921539,142.890480

"Black Bear 10.07-10.16/Data","S4A04633_20171008_090000.wav",1,0.000,3600.000,"2017-10-08","09:00:00.000",9,0.862202,145.256257

"Black Bear 10.07-10.16/Data","S4A04633_20171008_190002.wav",0,0.000,3598.000,"2017-10-08","19:00:02.000",19,0.398511,165.641411

"Black Bear 10.07-10.16/Data","S4A04633_20171008_190002.wav",1,0.000,3598.000,"2017-10-08","19:00:02.000",19,0.151177,161.616019

"Black Bear 10.07-10.16/Data","S4A04633_20171009_000000.wav",0,0.000,3600.000,"2017-10-09","00:00:00.000",0,0.464908,151.834959

"Black Bear 10.07-10.16/Data","S4A04633_20171009_000000.wav",1,0.000,3600.000,"2017-10-09","00:00:00.000",0,0.278222,151.191609

"Black Bear 10.07-10.16/Data","S4A04633_20171008_180000.wav",0,0.000,3600.000,"2017-10-08","18:00:00.000",18,-0.100289,152.750930

"Black Bear 10.07-10.16/Data","S4A04633_20171009_030000.wav",0,0.000,3600.000,"2017-10-09","03:00:00.000",3,-0.392777,154.962716

"Black Bear 10.07-10.16/Data","S4A04633_20171008_180000.wav",1,0.000,3600.000,"2017-10-08","18:00:00.000",18,-0.064340,151.747601

"Black Bear 10.07-10.16/Data","S4A04633_20171009_030000.wav",1,0.000,3600.000,"2017-10-09","03:00:00.000",3,-0.187190,153.918051

"Black Bear 10.07-10.16/Data","S4A04633_20171008_160000.wav",0,0.000,3600.000,"2017-10-08","16:00:00.000",16,-0.080535,152.802049

"Black Bear 10.07-10.16/Data","S4A04633_20171008_160000.wav",1,0.000,3600.000,"2017-10-08","16:00:00.000",16,0.032651,151.602064

"Black Bear 10.07-10.16/Data","S4A04633_20171008_130000.wav",0,0.000,3600.000,"2017-10-08","13:00:00.000",13,0.229182,146.388770

"Black Bear 10.07-10.16/Data","S4A04633_20171008_130000.wav",1,0.000,3600.000,"2017-10-08","13:00:00.000",13,0.164199,148.963432

"Black Bear 10.07-10.16/Data","S4A04633_20171009_060000.wav",0,0.000,3600.000,"2017-10-09","06:00:00.000",6,-0.686481,150.349216

"Black Bear 10.07-10.16/Data","S4A04633_20171009_060000.wav",1,0.000,3600.000,"2017-10-09","06:00:00.000",6,-0.113746,150.367589

"Black Bear 10.07-10.16/Data","S4A04633_20171009_070002.wav",0,0.000,3598.000,"2017-10-09","07:00:02.000",7,-0.193574,154.784303

"Black Bear 10.07-10.16/Data","S4A04633_20171009_070002.wav",1,0.000,3598.000,"2017-10-09","07:00:02.000",7,0.093350,153.436883

"Black Bear 10.07-10.16/Data","S4A04633_20171009_180000.wav",0,0.000,3600.000,"2017-10-09","18:00:00.000",18,-0.217982,150.989479

"Black Bear 10.07-10.16/Data","S4A04633_20171009_160000.wav",0,0.000,3600.000,"2017-10-09","16:00:00.000",16,-0.054122,152.849070

"Black Bear 10.07-10.16/Data","S4A04633_20171009_180000.wav",1,0.000,3600.000,"2017-10-09","18:00:00.000",18,-0.244515,151.241278

"Black Bear 10.07-10.16/Data","S4A04633_20171009_160000.wav",1,0.000,3600.000,"2017-10-09","16:00:00.000",16,-0.153009,152.516074

"Black Bear 10.07-10.16/Data","S4A04633_20171009_190002.wav",0,0.000,3598.000,"2017-10-09","19:00:02.000",19,0.164728,150.699389

"Black Bear 10.07-10.16/Data","S4A04633_20171009_190002.wav",1,0.000,3598.000,"2017-10-09","19:00:02.000",19,-0.053798,150.461585

"Black Bear 10.07-10.16/Data","S4A04633_20171009_090000.wav",0,0.000,3600.000,"2017-10-09","09:00:00.000",9,0.824695,142.713835

"Black Bear 10.07-10.16/Data","S4A04633_20171009_090000.wav",1,0.000,3600.000,"2017-10-09","09:00:00.000",9,0.855255,144.562875

"Black Bear 10.07-10.16/Data","S4A04633_20171009_130000.wav",0,0.000,3600.000,"2017-10-09","13:00:00.000",13,0.770612,144.213603

"Black Bear 10.07-10.16/Data","S4A04633_20171009_130000.wav",1,0.000,3600.000,"2017-10-09","13:00:00.000",13,0.668341,146.028444

"Black Bear 10.07-10.16/Data","S4A04633_20171010_000000.wav",0,0.000,3600.000,"2017-10-10","00:00:00.000",0,0.777500,151.372110

"Black Bear 10.07-10.16/Data","S4A04633_20171010_000000.wav",1,0.000,3600.000,"2017-10-10","00:00:00.000",0,0.303501,150.916301

"Black Bear 10.07-10.16/Data","S4A04633_20171010_070002.wav",0,0.000,3598.000,"2017-10-10","07:00:02.000",7,-0.353987,154.620430

"Black Bear 10.07-10.16/Data","S4A04633_20171010_070002.wav",1,0.000,3598.000,"2017-10-10","07:00:02.000",7,-0.090766,154.311009

"Black Bear 10.07-10.16/Data","S4A04633_20171010_060000.wav",0,0.000,3600.000,"2017-10-10","06:00:00.000",6,-0.653543,153.484408

"Black Bear 10.07-10.16/Data","S4A04633_20171010_060000.wav",1,0.000,3600.000,"2017-10-10","06:00:00.000",6,-0.232117,153.290681

"Black Bear 10.07-10.16/Data","S4A04633_20171010_030000.wav",0,0.000,3600.000,"2017-10-10","03:00:00.000",3,0.732650,152.492571

"Black Bear 10.07-10.16/Data","S4A04633_20171010_030000.wav",1,0.000,3600.000,"2017-10-10","03:00:00.000",3,0.201073,151.238909

"Black Bear 10.07-10.16/Data","S4A04633_20171010_090000.wav",0,0.000,3600.000,"2017-10-10","09:00:00.000",9,0.893044,144.610899

"Black Bear 10.07-10.16/Data","S4A04633_20171010_090000.wav",1,0.000,3600.000,"2017-10-10","09:00:00.000",9,0.866222,145.926087

"Black Bear 10.07-10.16/Data","S4A04633_20171010_130000.wav",0,0.000,3600.000,"2017-10-10","13:00:00.000",13,0.432922,146.039510

"Black Bear 10.07-10.16/Data","S4A04633_20171010_130000.wav",1,0.000,3600.000,"2017-10-10","13:00:00.000",13,0.220570,148.125883

"Black Bear 10.07-10.16/Data","S4A04633_20171010_160000.wav",0,0.000,3600.000,"2017-10-10","16:00:00.000",16,-0.295351,151.170838

"Black Bear 10.07-10.16/Data","S4A04633_20171010_160000.wav",1,0.000,3600.000,"2017-10-10","16:00:00.000",16,-0.267815,152.125444

"Black Bear 10.07-10.16/Data","S4A04633_20171010_180000.wav",0,0.000,3600.000,"2017-10-10","18:00:00.000",18,0.188373,151.853120

"Black Bear 10.07-10.16/Data","S4A04633_20171010_180000.wav",1,0.000,3600.000,"2017-10-10","18:00:00.000",18,-0.100783,151.452554

"Black Bear 10.07-10.16/Data","S4A04633_20171010_190002.wav",0,0.000,3598.000,"2017-10-10","19:00:02.000",19,0.173678,151.430563

"Black Bear 10.07-10.16/Data","S4A04633_20171010_190002.wav",1,0.000,3598.000,"2017-10-10","19:00:02.000",19,-0.108437,151.587929

"Black Bear 10.07-10.16/Data","S4A04633_20171011_000000.wav",0,0.000,3600.000,"2017-10-11","00:00:00.000",0,0.786314,150.924256

"Black Bear 10.07-10.16/Data","S4A04633_20171011_030000.wav",0,0.000,3600.000,"2017-10-11","03:00:00.000",3,0.573583,150.894133

"Black Bear 10.07-10.16/Data","S4A04633_20171011_000000.wav",1,0.000,3600.000,"2017-10-11","00:00:00.000",0,0.276356,150.200353

"Black Bear 10.07-10.16/Data","S4A04633_20171011_030000.wav",1,0.000,3600.000,"2017-10-11","03:00:00.000",3,0.092502,150.622224

"Black Bear 10.07-10.16/Data","S4A04633_20171011_060000.wav",0,0.000,3600.000,"2017-10-11","06:00:00.000",6,-0.711824,153.317019

"Black Bear 10.07-10.16/Data","S4A04633_20171011_060000.wav",1,0.000,3600.000,"2017-10-11","06:00:00.000",6,-0.321544,153.235961

"Black Bear 10.07-10.16/Data","S4A04633_20171011_070002.wav",0,0.000,3598.000,"2017-10-11","07:00:02.000",7,-0.282213,156.182782

"Black Bear 10.07-10.16/Data","S4A04633_20171011_070002.wav",1,0.000,3598.000,"2017-10-11","07:00:02.000",7,-0.180267,155.271743

"Black Bear 10.07-10.16/Data","S4A04633_20171011_090000.wav",0,0.000,3600.000,"2017-10-11","09:00:00.000",9,0.939198,142.452595

"Black Bear 10.07-10.16/Data","S4A04633_20171011_090000.wav",1,0.000,3600.000,"2017-10-11","09:00:00.000",9,0.890581,144.879791

"Black Bear 10.07-10.16/Data","S4A04633_20171011_130000.wav",0,0.000,3600.000,"2017-10-11","13:00:00.000",13,0.549578,145.099832

"Black Bear 10.07-10.16/Data","S4A04633_20171011_130000.wav",1,0.000,3600.000,"2017-10-11","13:00:00.000",13,0.461764,149.554318

"Black Bear 10.07-10.16/Data","S4A04633_20171011_190002.wav",0,0.000,3598.000,"2017-10-11","19:00:02.000",19,0.262233,151.454486

"Black Bear 10.07-10.16/Data","S4A04633_20171011_190002.wav",1,0.000,3598.000,"2017-10-11","19:00:02.000",19,-0.027822,151.150132

